  PID TTY          TIME CMD
13973 ?        00:00:00 kworker/2:1
14421 ?        00:00:00 kworker/u16:3
16854 pts/18   00:00:00 atom
16856 pts/18   00:00:01 atom
16858 pts/18   00:00:00 atom
16880 pts/18   00:00:00 atom
16890 pts/18   00:00:07 atom
16927 pts/18   00:00:00 atom
16958 pts/18   00:00:00 linter-eslint h
17026 pts/18   00:00:00 a.out
17027 pts/18   00:00:00 sh
17028 pts/18   00:00:00 ps
